<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Rishmac.Prod.&EXP,20200302,30881.00,30881.00,30881.00,30761.00,52274955347,1692787,431,D,29411.00,30881.00
Rishmac.Prod.&EXP,20200301,29411.00,29411.00,29320.00,29411.00,228677046333,7775300,1881,D,28011.00,29411.00
Rishmac.Prod.&EXP,20200229,27800.00,28480.00,27163.00,28011.00,244597354454,8732264,3182,D,27124.00,28480.00
Rishmac.Prod.&EXP,20200226,27124.00,27124.00,27124.00,27124.00,48234283712,1778288,561,D,25833.00,27124.00
Rishmac.Prod.&EXP,20200225,25833.00,25833.00,25833.00,25833.00,66929531382,2590854,418,D,24603.00,25833.00
Rishmac.Prod.&EXP,20200224,24790.00,25264.00,23500.00,24603.00,225165296626,9151996,3994,D,24061.00,25264.00
Rishmac.Prod.&EXP,20200223,24061.00,24061.00,24061.00,24061.00,46966879512,1951992,894,D,22916.00,24061.00
Rishmac.Prod.&EXP,20200222,21182.00,23410.00,21182.00,22916.00,102675930006,4480472,2757,D,22296.00,23410.00
Rishmac.Prod.&EXP,20200219,21518.00,22950.00,21518.00,22296.00,84029060276,3768806,3154,D,21922.00,22750.00
Rishmac.Prod.&EXP,20200218,22995.00,22995.00,21609.00,21922.00,73001713926,3330103,2647,D,22739.00,21830.00
Rishmac.Prod.&EXP,20200217,22937.00,23519.00,22220.00,22739.00,89466346857,3934485,3357,D,22929.00,22400.00
Rishmac.Prod.&EXP,20200216,22740.00,23700.00,22657.00,22929.00,74690641547,3257494,2558,D,22751.00,22980.00
Rishmac.Prod.&EXP,20200215,23500.00,23500.00,22417.00,22751.00,110386234248,4851962,3255,D,23596.00,22655.00
Rishmac.Prod.&EXP,20200212,23699.00,24000.00,22999.00,23596.00,97555496349,4134381,2706,D,23515.00,23180.00
Rishmac.Prod.&EXP,20200210,23700.00,24000.00,23468.00,23515.00,125211708424,5324655,2761,D,24703.00,23651.00
Rishmac.Prod.&EXP,20200209,25500.00,25500.00,23800.00,24703.00,198579952054,8038833,4562,D,24313.00,24090.00
Rishmac.Prod.&EXP,20200208,24361.00,24361.00,23270.00,24313.00,174419028121,7173840,2966,D,23201.00,24361.00
Rishmac.Prod.&EXP,20200205,22990.00,23270.00,22560.00,23201.00,136190062011,5869917,2136,D,22162.00,23270.00
Rishmac.Prod.&EXP,20200204,20800.00,22279.00,20754.00,22162.00,244197444911,11018940,3269,D,21219.00,22279.00
Rishmac.Prod.&EXP,20200203,22100.00,22100.00,20801.00,21219.00,81637862488,3847477,3122,D,21284.00,21102.00
Rishmac.Prod.&EXP,20200202,20880.00,21438.00,20555.00,21284.00,94012617847,4417076,2897,D,20418.00,21438.00
Rishmac.Prod.&EXP,20200201,21379.00,21379.00,20174.00,20418.00,131964845902,6463274,4589,D,21235.00,20280.00
Rishmac.Prod.&EXP,20200128,21500.00,21980.00,20801.00,21235.00,112287037074,5287710,3715,D,21843.00,21000.00
Rishmac.Prod.&EXP,20200127,21555.00,22490.00,21400.00,21843.00,105136250451,4813354,2882,D,22435.00,21510.00
Rishmac.Prod.&EXP,20200126,23200.00,23222.00,21499.00,22435.00,161339051850,7191513,4806,D,22599.00,21812.00
Rishmac.Prod.&EXP,20200125,22249.00,22726.00,21750.00,22599.00,171161614030,7573915,3197,D,21644.00,22726.00
Rishmac.Prod.&EXP,20200122,20900.00,22398.00,20669.00,21644.00,128206438799,5923296,3697,D,21519.00,21700.00
Rishmac.Prod.&EXP,20200121,21899.00,22010.00,20500.00,21519.00,169809025632,7891303,4641,D,20963.00,20890.00
Rishmac.Prod.&EXP,20200120,21000.00,21325.00,20250.00,20963.00,244421958629,11659954,4355,D,20310.00,21325.00
Rishmac.Prod.&EXP,20200119,19880.00,20466.00,19112.00,20310.00,213008896616,10488010,3438,D,19492.00,20466.00
Rishmac.Prod.&EXP,20200118,18950.00,19619.00,18950.00,19492.00,124042043619,6363588,2671,D,18685.00,19619.00
Rishmac.Prod.&EXP,20200115,18709.00,19158.00,18255.00,18685.00,54452771107,2914241,2127,D,18709.00,18750.00
Rishmac.Prod.&EXP,20200114,19280.00,19280.00,18551.00,18709.00,96729606509,5170246,2094,D,18940.00,18607.00
Rishmac.Prod.&EXP,20200113,18958.00,18958.00,18511.00,18940.00,64579931781,3409673,1407,D,18056.00,18958.00
Rishmac.Prod.&EXP,20200112,18056.00,18056.00,18056.00,18056.00,17250846848,955408,230,D,17197.00,18056.00
Rishmac.Prod.&EXP,20200111,17197.00,17197.00,17197.00,17197.00,4541710503,264099,88,D,16860.00,17197.00
Rishmac.Prod.&EXP,20200108,16860.00,16860.00,16860.00,16860.00,13406363880,795158,324,D,17204.00,16860.00
Rishmac.Prod.&EXP,20200107,17770.00,18276.00,16862.00,17204.00,60685570925,3527496,1633,D,17749.00,16862.00
Rishmac.Prod.&EXP,20200105,17594.00,18590.00,17594.00,17749.00,155297763513,8749706,3781,D,18520.00,17594.00
Rishmac.Prod.&EXP,20200104,18520.00,18520.00,18520.00,18520.00,16360179080,883379,447,D,19494.00,18520.00
Rishmac.Prod.&EXP,20200101,19268.00,19873.00,18900.00,19494.00,293374581433,15049102,5984,D,18927.00,19872.00
Rishmac.Prod.&EXP,20191231,19110.00,19377.00,18501.00,18927.00,97079327227,5129011,2827,D,18893.00,18998.00
Rishmac.Prod.&EXP,20191230,18890.00,19300.00,18508.00,18893.00,95745941923,5067907,3552,D,18728.00,18900.00
Rishmac.Prod.&EXP,20191229,18999.00,18999.00,18576.00,18728.00,70265026706,3751968,2321,D,18757.00,18745.00
Rishmac.Prod.&EXP,20191228,18262.00,19189.00,18262.00,18757.00,89582877341,4775917,2829,D,18723.00,18848.00
Rishmac.Prod.&EXP,20191225,18981.00,19212.00,18500.00,18723.00,36383764212,1943245,1650,D,18843.00,18654.00
Rishmac.Prod.&EXP,20191224,18500.00,19300.00,18250.00,18843.00,47028288895,2495756,1661,D,18603.00,18984.00
Rishmac.Prod.&EXP,20191223,18900.00,19200.00,17992.00,18603.00,59485251721,3197548,2502,D,18889.00,18190.00
Rishmac.Prod.&EXP,20191222,18111.00,19320.00,18111.00,18889.00,66935113554,3543642,2569,D,18510.00,18845.00
Rishmac.Prod.&EXP,20191221,18999.00,18999.00,18281.00,18510.00,55415979997,2993907,2531,D,18857.00,18400.00
Rishmac.Prod.&EXP,20191218,19111.00,19400.00,18759.00,18857.00,46577158574,2470037,2500,D,19408.00,18760.00
Rishmac.Prod.&EXP,20191217,19720.00,19720.00,19110.00,19408.00,45100105018,2323809,1864,D,19242.00,19228.00
Rishmac.Prod.&EXP,20191216,18849.00,19525.00,18849.00,19242.00,50826794483,2641387,2106,D,19084.00,19343.00
Rishmac.Prod.&EXP,20191215,19500.00,19600.00,18650.00,19084.00,49483080983,2592862,2157,D,19053.00,19141.00
Rishmac.Prod.&EXP,20191214,18510.00,19500.00,18510.00,19053.00,52151751462,2737169,2168,D,18809.00,19229.00
Rishmac.Prod.&EXP,20191211,18500.00,19291.00,18310.00,18809.00,37350831989,1985781,1997,D,19261.00,18771.00
Rishmac.Prod.&EXP,20191210,19899.00,19899.00,18710.00,19261.00,69979511945,3633237,3281,D,19692.00,18740.00
Rishmac.Prod.&EXP,20191209,19100.00,20087.00,19100.00,19692.00,58906657718,2991423,2562,D,19494.00,19600.00
Rishmac.Prod.&EXP,20191208,19800.00,19800.00,18737.00,19494.00,60273141279,3091917,3005,D,19104.00,19396.00
Rishmac.Prod.&EXP,20191207,18800.00,19143.00,18800.00,19104.00,86797308773,4543372,2571,D,18232.00,19143.00
Rishmac.Prod.&EXP,20191204,18070.00,18500.00,17651.00,18232.00,54389289240,2983186,2376,D,17648.00,18380.00
Rishmac.Prod.&EXP,20191203,17550.00,18100.00,17300.00,17648.00,31301724246,1773681,1695,D,17845.00,17616.00
Rishmac.Prod.&EXP,20191202,18100.00,18150.00,17250.00,17845.00,56328420129,3156474,2715,D,18005.00,17669.00
Rishmac.Prod.&EXP,20191201,18154.00,18218.00,17680.00,18005.00,37368271234,2075388,1945,D,17838.00,17853.00
Rishmac.Prod.&EXP,20191130,17899.00,18200.00,17349.00,17838.00,41262514905,2313186,2283,D,17523.00,18100.00
Rishmac.Prod.&EXP,20191127,17798.00,17798.00,16900.00,17523.00,25379519917,1448369,1434,D,17748.00,17500.00
Rishmac.Prod.&EXP,20191126,18000.00,18116.00,17330.00,17748.00,34595128180,1949246,1740,D,17254.00,17552.00
Rishmac.Prod.&EXP,20191125,16888.00,17320.00,16700.00,17254.00,26662002949,1545288,1476,D,16496.00,17320.00
Rishmac.Prod.&EXP,20191124,16587.00,16849.00,16351.00,16496.00,20286528399,1229804,1191,D,16587.00,16600.00
Rishmac.Prod.&EXP,20191123,16910.00,17100.00,16452.00,16587.00,21254655056,1281440,1208,D,16775.00,16502.00
Rishmac.Prod.&EXP,20191120,17100.00,17100.00,16604.00,16775.00,20031572401,1194139,1273,D,16927.00,16900.00
Rishmac.Prod.&EXP,20191119,16203.00,17190.00,16203.00,16927.00,15028616636,887869,892,D,16482.00,16928.00
Rishmac.Prod.&EXP,20191118,15913.00,16899.00,15913.00,16482.00,25429117062,1542820,1326,D,16750.00,16750.00
Rishmac.Prod.&EXP,20191117,16900.00,16900.00,16746.00,16750.00,22629125761,1350956,961,D,17627.00,16746.00
Rishmac.Prod.&EXP,20191116,18190.00,18190.00,17202.00,17627.00,19138976125,1085791,1505,D,17704.00,17340.00
Rishmac.Prod.&EXP,20191113,17900.00,17960.00,17000.00,17704.00,21733288179,1227620,1953,D,17646.00,17750.00
Rishmac.Prod.&EXP,20191112,17665.00,17668.00,17250.00,17646.00,34227678381,1939656,1390,D,16827.00,17668.00
Rishmac.Prod.&EXP,20191111,16980.00,17400.00,16210.00,16827.00,27514653921,1635192,1846,D,16751.00,17190.00
Rishmac.Prod.&EXP,20191110,17450.00,17450.00,16530.00,16751.00,24537882767,1464904,2039,D,17354.00,16539.00
Rishmac.Prod.&EXP,20191109,18000.00,18000.00,17101.00,17354.00,20831802361,1200412,1475,D,17559.00,17165.00
Rishmac.Prod.&EXP,20191105,17600.00,18027.00,17021.00,17559.00,20788016102,1183867,1478,D,17825.00,17695.00
Rishmac.Prod.&EXP,20191104,18638.00,18638.00,17400.00,17825.00,32815714094,1840960,2433,D,18136.00,17475.00
Rishmac.Prod.&EXP,20191103,17500.00,18523.00,17239.00,18136.00,45765552419,2523485,2136,D,17793.00,18390.00
Rishmac.Prod.&EXP,20191102,18417.00,18417.00,17060.00,17793.00,46395863203,2607543,3243,D,17723.00,17749.00
Rishmac.Prod.&EXP,20191030,17720.00,17731.00,17561.00,17723.00,33797982976,1907052,1149,D,16887.00,17731.00
Rishmac.Prod.&EXP,20191028,16735.00,16919.00,16300.00,16887.00,33319007074,1973113,1271,D,16114.00,16919.00
Rishmac.Prod.&EXP,20191026,16380.00,16448.00,15555.00,16114.00,21511553935,1334990,1426,D,15970.00,16302.00
Rishmac.Prod.&EXP,20191023,16916.00,16916.00,15510.00,15970.00,59684309763,3737376,3358,D,16320.00,16512.00
Rishmac.Prod.&EXP,20191022,16374.00,16374.00,15802.00,16320.00,65212975986,3995774,1893,D,15595.00,16374.00
Rishmac.Prod.&EXP,20191021,14877.00,16441.00,14877.00,15595.00,57315840128,3675374,2814,D,15659.00,16300.00
Rishmac.Prod.&EXP,20191020,15648.00,15820.00,15648.00,15659.00,23041227276,1471422,749,D,16471.00,15648.00
Rishmac.Prod.&EXP,20191016,16443.00,16920.00,16443.00,16471.00,50527746888,3067643,2118,D,17308.00,16443.00
Rishmac.Prod.&EXP,20191015,17402.00,17998.00,17203.00,17308.00,22202492177,1282803,996,D,18108.00,17203.00
Rishmac.Prod.&EXP,20191014,18800.00,18800.00,18007.00,18108.00,43613223386,2408524,2374,D,18954.00,18007.00
Rishmac.Prod.&EXP,20191013,19700.00,19750.00,18500.00,18954.00,27784357024,1465895,1834,D,19463.00,18796.00
Rishmac.Prod.&EXP,20191012,19450.00,19786.00,18903.00,19463.00,54739070329,2812410,2064,D,18844.00,19211.00
Rishmac.Prod.&EXP,20191009,18550.00,19400.00,18200.00,18844.00,36778752270,1951778,2203,D,19154.00,19150.00
Rishmac.Prod.&EXP,20191008,18860.00,20200.00,18505.00,19154.00,110830481453,5786242,4465,D,19478.00,18580.00
Rishmac.Prod.&EXP,20191007,19811.00,20209.00,19249.00,19478.00,91235670508,4684135,3569,D,20262.00,19249.00
Rishmac.Prod.&EXP,20191006,21000.00,21000.00,20211.00,20262.00,97398659426,4806861,2927,D,21274.00,20211.00
Rishmac.Prod.&EXP,20191005,22484.00,22484.00,20414.00,21274.00,101269299579,4760181,3825,D,21488.00,20699.00
Rishmac.Prod.&EXP,20191002,20800.00,22180.00,20800.00,21488.00,109726596336,5106326,3976,D,21804.00,21821.00
Rishmac.Prod.&EXP,20191001,22430.00,22440.00,20509.00,21804.00,142361268590,6529089,5101,D,21417.00,20740.00
Rishmac.Prod.&EXP,20190930,21417.00,21417.00,21400.00,21417.00,182590350853,8525527,3430,D,20398.00,21417.00
Rishmac.Prod.&EXP,20190929,20567.00,20567.00,19600.00,20398.00,166756811797,8175130,4966,D,19588.00,20567.00
Rishmac.Prod.&EXP,20190928,19150.00,19711.00,19000.00,19588.00,130636841059,6669079,4489,D,18773.00,19711.00
Rishmac.Prod.&EXP,20190925,18400.00,19000.00,18201.00,18773.00,55894839941,2977331,2316,D,18532.00,18830.00
Rishmac.Prod.&EXP,20190924,18986.00,19001.00,18161.00,18532.00,61127905205,3298461,2854,D,18827.00,18298.00
Rishmac.Prod.&EXP,20190923,18842.00,19289.00,18500.00,18827.00,75476307836,4008979,3359,D,18854.00,18640.00
Rishmac.Prod.&EXP,20190922,19400.00,19400.00,18550.00,18854.00,88613652230,4699979,2667,D,18756.00,18850.00
Rishmac.Prod.&EXP,20190921,18310.00,19050.00,17928.00,18756.00,114954643625,6129012,3836,D,18305.00,18701.00
Rishmac.Prod.&EXP,20190918,19200.00,19200.00,18062.00,18305.00,112732672237,6158492,3211,D,19012.00,18062.00
Rishmac.Prod.&EXP,20190917,18850.00,19566.00,17894.00,19012.00,130402289594,6858936,4495,D,18641.00,19200.00
Rishmac.Prod.&EXP,20190916,18640.00,18670.00,18191.00,18641.00,187034616117,10033680,4681,D,17781.00,18670.00
Rishmac.Prod.&EXP,20190915,17280.00,17971.00,17200.00,17781.00,132146040038,7431709,4711,D,17116.00,17971.00
Rishmac.Prod.&EXP,20190914,16401.00,17158.00,16400.00,17116.00,117901941665,6888246,3562,D,16341.00,17158.00
Rishmac.Prod.&EXP,20190911,16300.00,16691.00,15910.00,16341.00,48401083834,2961905,2627,D,16085.00,16499.00
Rishmac.Prod.&EXP,20190908,16356.00,16498.00,15820.00,16085.00,33001326075,2051692,1609,D,16156.00,16025.00
Rishmac.Prod.&EXP,20190907,15984.00,16280.00,15846.00,16156.00,28487722728,1763258,1534,D,15582.00,16220.00
Rishmac.Prod.&EXP,20190904,15300.00,15925.00,15200.00,15582.00,28313047601,1817088,1241,D,15168.00,15600.00
Rishmac.Prod.&EXP,20190903,15488.00,15488.00,15000.00,15168.00,29035785105,1914340,1312,D,15285.00,15290.00
Rishmac.Prod.&EXP,20190902,15799.00,15799.00,15104.00,15285.00,49656051596,3248621,1793,D,15898.00,15200.00
Rishmac.Prod.&EXP,20190901,16100.00,16355.00,15610.00,15898.00,31427404574,1976816,1347,D,16063.00,15900.00
Rishmac.Prod.&EXP,20190831,16312.00,16400.00,15653.00,16063.00,48700097030,3031780,1751,D,16142.00,15892.00
Rishmac.Prod.&EXP,20190828,16208.00,16479.00,15769.00,16142.00,40904446995,2534070,1390,D,16598.00,16280.00
Rishmac.Prod.&EXP,20190827,17000.00,17057.00,16000.00,16598.00,71928380918,4333562,2822,D,16674.00,16279.00
Rishmac.Prod.&EXP,20190826,16000.00,16761.00,15800.00,16674.00,116434096193,6983108,2617,D,15963.00,16761.00
Rishmac.Prod.&EXP,20190825,16554.00,16599.00,15404.00,15963.00,70456486038,4413781,2783,D,16214.00,15990.00
Rishmac.Prod.&EXP,20190824,16081.00,16239.00,15960.00,16214.00,95196642934,5871122,2395,D,15466.00,16239.00
Rishmac.Prod.&EXP,20190821,15180.00,15850.00,14932.00,15466.00,64044523126,4140862,2490,D,15170.00,15730.00
Rishmac.Prod.&EXP,20190819,15600.00,15600.00,15010.00,15170.00,40836837821,2691935,1567,D,15421.00,15150.00
Rishmac.Prod.&EXP,20190818,15250.00,15744.00,15000.00,15421.00,78162588962,5068602,2576,D,14995.00,15400.00
Rishmac.Prod.&EXP,20190817,14480.00,15046.00,14435.00,14995.00,72472710161,4833135,1582,D,14330.00,15046.00
Rishmac.Prod.&EXP,20190814,14229.00,14500.00,14095.00,14330.00,29100088266,2030676,971,D,14094.00,14335.00
Rishmac.Prod.&EXP,20190813,14250.00,14250.00,13901.00,14094.00,19799565296,1404790,860,D,14295.00,14076.00
Rishmac.Prod.&EXP,20190811,14440.00,14470.00,14111.00,14295.00,20000925450,1399171,692,D,14289.00,14217.00
Rishmac.Prod.&EXP,20190810,14175.00,14417.00,13921.00,14289.00,22621189704,1583110,819,D,13954.00,14400.00
Rishmac.Prod.&EXP,20190807,13751.00,14200.00,13750.00,13954.00,22849497833,1637481,724,D,13859.00,13880.00
Rishmac.Prod.&EXP,20190806,14001.00,14100.00,13750.00,13859.00,21216370800,1530841,826,D,14159.00,13750.00
Rishmac.Prod.&EXP,20190805,14670.00,14670.00,13953.00,14159.00,25931004064,1831449,1059,D,14238.00,13990.00
Rishmac.Prod.&EXP,20190804,14100.00,14410.00,14000.00,14238.00,21017836400,1476230,1032,D,13732.00,14223.00
Rishmac.Prod.&EXP,20190803,13857.00,13999.00,13580.00,13732.00,11858562533,863582,536,D,13685.00,13998.00
Rishmac.Prod.&EXP,20190731,13700.00,13888.00,13500.00,13685.00,14430336714,1054459,752,D,13726.00,13650.00
Rishmac.Prod.&EXP,20190730,13533.00,13950.00,13533.00,13726.00,7725715613,562870,470,D,13664.00,13683.00
Rishmac.Prod.&EXP,20190729,13980.00,14150.00,13511.00,13664.00,10053952720,735812,586,D,13984.00,13700.00
Rishmac.Prod.&EXP,20190728,14280.00,14350.00,13733.00,13984.00,12199718060,872386,563,D,14177.00,13868.00
Rishmac.Prod.&EXP,20190727,14600.00,14600.00,13900.00,14177.00,23227517218,1638439,759,D,14070.00,14188.00
Rishmac.Prod.&EXP,20190724,13400.00,14231.00,13400.00,14070.00,28385938637,2017505,889,D,13554.00,13991.00
Rishmac.Prod.&EXP,20190723,13851.00,13851.00,13319.00,13554.00,21031086031,1551623,905,D,14020.00,13730.00
Rishmac.Prod.&EXP,20190722,14161.00,14300.00,13800.00,14020.00,19735522976,1407718,870,D,14329.00,13949.00
Rishmac.Prod.&EXP,20190721,14210.00,14550.00,14069.00,14329.00,24819165820,1732053,811,D,14051.00,14301.00
Rishmac.Prod.&EXP,20190720,13849.00,14349.00,13560.00,14051.00,19370645090,1378564,947,D,13741.00,14250.00
Rishmac.Prod.&EXP,20190717,13345.00,14000.00,13345.00,13741.00,26055533972,1896143,1178,D,13953.00,13550.00
Rishmac.Prod.&EXP,20190716,14488.00,14488.00,13885.00,13953.00,16437159540,1178057,660,D,14615.00,13885.00
Rishmac.Prod.&EXP,20190715,14990.00,14990.00,14400.00,14615.00,23314717786,1595250,836,D,14843.00,14489.00
Rishmac.Prod.&EXP,20190714,15040.00,15040.00,14651.00,14843.00,32196615598,2169137,951,D,14854.00,14800.00
Rishmac.Prod.&EXP,20190713,15148.00,15148.00,14690.00,14854.00,31990298027,2153667,1230,D,15059.00,14890.00
Rishmac.Prod.&EXP,20190710,15200.00,15250.00,14823.00,15059.00,44297555908,2941640,1466,D,14720.00,14965.00
Rishmac.Prod.&EXP,20190709,14300.00,14937.00,14180.00,14720.00,62018277513,4213336,1305,D,14226.00,14937.00
Rishmac.Prod.&EXP,20190708,14301.00,14499.00,14000.00,14226.00,39481838739,2775274,1519,D,14383.00,14150.00
Rishmac.Prod.&EXP,20190707,14499.00,14710.00,14200.00,14383.00,17722329553,1232188,734,D,14451.00,14301.00
Rishmac.Prod.&EXP,20190706,14990.00,14990.00,14157.00,14451.00,34654678457,2398104,1085,D,14902.00,14499.00
Rishmac.Prod.&EXP,20190703,14940.00,15179.00,14601.00,14902.00,21342053863,1432149,904,D,14864.00,14998.00
Rishmac.Prod.&EXP,20190702,15100.00,15100.00,14700.00,14864.00,23472669121,1579215,984,D,15058.00,14866.00
Rishmac.Prod.&EXP,20190701,15450.00,15499.00,14609.00,15058.00,61641809424,4093631,1709,D,15273.00,14700.00
Rishmac.Prod.&EXP,20190630,15100.00,15362.00,14800.00,15273.00,186732106218,12226612,2684,D,14631.00,15362.00
Rishmac.Prod.&EXP,20190626,13700.00,14704.00,13700.00,14631.00,125292798506,8563362,1456,D,14004.00,14704.00
Rishmac.Prod.&EXP,20190625,14499.00,14499.00,13830.00,14004.00,13848698352,988928,705,D,14114.00,13900.00
Rishmac.Prod.&EXP,20190624,13835.00,14493.00,13835.00,14114.00,25551527745,1810355,840,D,13816.00,14470.00
Rishmac.Prod.&EXP,20190623,13800.00,14000.00,13520.00,13816.00,11119174972,804784,677,D,13570.00,13830.00
Rishmac.Prod.&EXP,20190622,13890.00,13979.00,13351.00,13570.00,15268280079,1125111,734,D,13945.00,13650.00
Rishmac.Prod.&EXP,20190619,14480.00,14480.00,13557.00,13945.00,14973474846,1073786,721,D,14215.00,13800.00
Rishmac.Prod.&EXP,20190618,14297.00,14590.00,14014.00,14215.00,10992989785,773343,631,D,14053.00,14087.00
Rishmac.Prod.&EXP,20190617,13951.00,14250.00,13943.00,14053.00,13966448975,993844,937,D,14347.00,14101.00
Rishmac.Prod.&EXP,20190616,14500.00,14700.00,14114.00,14347.00,28307850858,1973078,1275,D,14612.00,14190.00
Rishmac.Prod.&EXP,20190615,14819.00,14850.00,14460.00,14612.00,15763395143,1078779,888,D,15030.00,14521.00
Rishmac.Prod.&EXP,20190612,15300.00,15362.00,14701.00,15030.00,22714243123,1511304,1040,D,14942.00,14855.00
Rishmac.Prod.&EXP,20190611,14897.00,15328.00,14250.00,14942.00,40919963588,2738673,1839,D,14665.00,15190.00
Rishmac.Prod.&EXP,20190610,15245.00,15245.00,14484.00,14665.00,57921452408,3949613,2264,D,15246.00,14484.00
Rishmac.Prod.&EXP,20190609,15397.00,15658.00,15009.00,15246.00,43058402734,2824165,1702,D,15190.00,15050.00
Rishmac.Prod.&EXP,20190608,15530.00,15530.00,14715.00,15190.00,33962796668,2235913,1353,D,14927.00,15156.00
Rishmac.Prod.&EXP,20190603,15267.00,15267.00,14600.00,14927.00,54419286189,3645586,1986,D,14557.00,14899.00
Rishmac.Prod.&EXP,20190602,14330.00,14578.00,14320.00,14557.00,39526552209,2715276,827,D,13884.00,14578.00
Rishmac.Prod.&EXP,20190601,13700.00,14333.00,13020.00,13884.00,31368861769,2259379,1563,D,13702.00,14200.00
Rishmac.Prod.&EXP,20190529,14103.00,14199.00,13400.00,13702.00,34760817631,2536902,1394,D,13654.00,13599.00
Rishmac.Prod.&EXP,20190528,13000.00,13699.00,12700.00,13654.00,117477560278,8603630,2603,D,13047.00,13699.00
Rishmac.Prod.&EXP,20190526,12949.00,13199.00,12701.00,13047.00,12581873198,964366,702,D,12820.00,12965.00
Rishmac.Prod.&EXP,20190525,12481.00,12950.00,12481.00,12820.00,11580850729,903350,644,D,12642.00,12943.00
Rishmac.Prod.&EXP,20190522,12889.00,12889.00,12501.00,12642.00,9036403578,714797,506,D,12580.00,12600.00
Rishmac.Prod.&EXP,20190521,12364.00,12790.00,12364.00,12580.00,8918819736,708972,612,D,12364.00,12542.00
Rishmac.Prod.&EXP,20190520,12561.00,12770.00,12101.00,12364.00,8715920068,704961,630,D,12595.00,12363.00
Rishmac.Prod.&EXP,20190519,12710.00,12847.00,12560.00,12595.00,11258731826,893894,626,D,12773.00,12600.00
Rishmac.Prod.&EXP,20190518,12999.00,13000.00,12650.00,12773.00,13524530068,1058844,665,D,12847.00,12700.00
Rishmac.Prod.&EXP,20190515,12880.00,13060.00,12659.00,12847.00,16123914079,1255096,574,D,12866.00,12919.00
Rishmac.Prod.&EXP,20190514,12500.00,13058.00,12500.00,12866.00,18924790130,1470971,744,D,12442.00,12949.00
Rishmac.Prod.&EXP,20190513,12380.00,12600.00,12121.00,12442.00,11754538968,944732,603,D,12186.00,12400.00
Rishmac.Prod.&EXP,20190512,12800.00,12800.00,12118.00,12186.00,17640684282,1447662,821,D,12755.00,12140.00
